source_excel_row,mineID,site,country_raw,roman_province_raw,region_raw,latitude_raw,longitude_raw,coordinate_in_broad_spain_envelope,include_spain_subset,selection_rule,selection_reason
883,1187,Río Miño 2: Salvatierra,Spain,Hispania Tarraconensis,Pontevedra,42.0885725,-8.509139932,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
884,1188,Río Miño 2: Salvatierra: Las Nieves,Spain,Hispania Tarraconensis,Pontevedra,42.07405709,-8.420913246,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
885,1189,Río Miño 2: Salvatierra: Las Nieves,Spain,Hispania Tarraconensis,Pontevedra,42.07462164,-8.429428437,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
886,1190,Río Miño 2: Salvatierra: Medanes,Spain,Hispania Tarraconensis,Pontevedra,42.08003087,-8.383805077,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
887,1191,Río Miño 2: Salvatierra: San Juan de Barcela,Spain,Hispania Tarraconensis,Pontevedra,42.08902083,-8.338426528,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
888,1192,Río Miño 2: Salvatierra: Santa Maria de Oleiros,Spain,Hispania Tarraconensis,Pontevedra,42.08956293,-8.461982174,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
889,1193,Río Navia 1: arroyo Santa Marina,Spain,Hispania Tarraconensis,Lugo,42.888246,-7.073463,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
890,1194,Río Navia 1: Cervantes,Spain,Hispania Tarraconensis,Lugo,42.87026019,-7.078290018,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
891,1195,Río Navia 1: Frayan de Arriba / Fraián,Spain,Hispania Tarraconensis,Lugo,42.8993839,-7.067546514,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
892,1196,Río Navia 1: sub-site 2 / Vilachá,Spain,Hispania Tarraconensis,Lugo,42.87565687,-7.078569229,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
893,1197,Río Navia 1: sub-site 5,Spain,Hispania Tarraconensis,Lugo,42.90055588,-7.057806165,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
894,1200,Río Sil 1: El Carril / La Sufreira,Spain,Hispania Tarraconensis,León,42.50483568,-6.833003242,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
895,1201,Río Sil 1: Friera / Las Valiñas,Spain,Hispania Tarraconensis,León,42.50527917,-6.815977444,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
896,1202,Río Sil 1: Requejo de Portela / O Trave,Spain,Hispania Tarraconensis,León,42.51443574,-6.810322927,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
897,1203,Río Sil 1: Valina / El Cabalón,Spain,Hispania Tarraconensis,León,42.50286336,-6.804904535,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
898,1204,Río Sil 2: Arroyo de Balén / La Tiñosa,Spain,Hispania Tarraconensis,León,42.469031,-6.807225,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
899,1205,Río Sil 2: Arroyo de Balouta,Spain,Hispania Tarraconensis,León,42.44669072,-6.8168499,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
