region,count,pct_records
León,304,0.3268817204
Oviedo,168,0.1806451613
Córdoba,82,0.08817204301
Lugo,61,0.06559139785
Badajoz,52,0.05591397849
Huelva,50,0.05376344086
Orense,45,0.04838709677
Ciudad Real,37,0.03978494624
Jaén,30,0.03225806452
Sevilla,12,0.01290322581
Pontevedra,10,0.01075268817
Murcia,9,0.009677419355
La Coruña,8,0.008602150538
Gerona,7,0.00752688172
Almería,6,0.006451612903
Granada,4,0.004301075269
Salamanca,4,0.004301075269
<Missing>,3,0.003225806452
Cuenca,3,0.003225806452
Palencia,3,0.003225806452
"León, Orense, Lugo",3,0.003225806452
Toledo,3,0.003225806452
Tarragona,3,0.003225806452
Balearics,2,0.002150537634
Segovia,2,0.002150537634
Madrid,2,0.002150537634
Guadalajara,2,0.002150537634
Zaragoza,2,0.002150537634
Bilbao,2,0.002150537634
Zamorra,2,0.002150537634
Santander,2,0.002150537634
Alicante,1,0.001075268817
Avila,1,0.001075268817
La Rioja,1,0.001075268817
Leon,1,0.001075268817
Cáceres,1,0.001075268817
Lérida,1,0.001075268817
Navarra,1,0.001075268817
