derivada,formula,identidad_verificada,duplicado_simple
unidades_granitoides_explicitos_fraccion,litologia_u011_fraccion + litologia_u015_fraccion,True,False
unidades_mixtas_con_granitoides_fraccion,litologia_u014_fraccion,True,True
unidades_volcanicas_fraccion,litologia_u019_fraccion,True,True
unidades_basicas_ultrabasicas_fraccion,litologia_u018_fraccion,True,True
unidades_con_gneisses_fraccion,litologia_u010_fraccion,True,True
unidades_con_gravas_arenas_limos_fraccion,litologia_u012_fraccion,True,True
