mineID,technique_code,technique_name,source_column,source_raw_value,status,confirmed_present
1030,underground,Underground,techniqueUnderground,0.0,absent,False
1031,underground,Underground,techniqueUnderground,0.0,absent,False
1032,underground,Underground,techniqueUnderground,,missing,
1033,underground,Underground,techniqueUnderground,0.0,absent,False
1034,underground,Underground,techniqueUnderground,,missing,
1035,underground,Underground,techniqueUnderground,0.0,absent,False
1036,underground,Underground,techniqueUnderground,,missing,
1038,underground,Underground,techniqueUnderground,0.0,absent,False
1040,underground,Underground,techniqueUnderground,0.0,absent,False
1041,underground,Underground,techniqueUnderground,0.0,absent,False
1042,underground,Underground,techniqueUnderground,0.0,absent,False
1043,underground,Underground,techniqueUnderground,,missing,
1044,underground,Underground,techniqueUnderground,0.0,absent,False
1045,underground,Underground,techniqueUnderground,,missing,
1046,underground,Underground,techniqueUnderground,1.0,present,True
1047,underground,Underground,techniqueUnderground,0.0,absent,False
1048,underground,Underground,techniqueUnderground,0.0,absent,False
1049,underground,Underground,techniqueUnderground,,missing,
1051,underground,Underground,techniqueUnderground,,missing,
1052,underground,Underground,techniqueUnderground,,missing,
1053,underground,Underground,techniqueUnderground,,missing,
1054,underground,Underground,techniqueUnderground,1.0,present,True
1055,underground,Underground,techniqueUnderground,,missing,
1056,underground,Underground,techniqueUnderground,,missing,
1057,underground,Underground,techniqueUnderground,,missing,
1058,underground,Underground,techniqueUnderground,,missing,
1059,underground,Underground,techniqueUnderground,0.0,absent,False
1060,underground,Underground,techniqueUnderground,0.0,absent,False
1061,underground,Underground,techniqueUnderground,,missing,
1062,underground,Underground,techniqueUnderground,,missing,
1063,underground,Underground,techniqueUnderground,,missing,
1064,underground,Underground,techniqueUnderground,1.0,present,True
1065,underground,Underground,techniqueUnderground,0.0,absent,False
1066,underground,Underground,techniqueUnderground,,missing,
1067,underground,Underground,techniqueUnderground,,missing,
1068,underground,Underground,techniqueUnderground,,missing,
1069,underground,Underground,techniqueUnderground,,missing,
1070,underground,Underground,techniqueUnderground,,missing,
1071,underground,Underground,techniqueUnderground,,missing,
1072,underground,Underground,techniqueUnderground,,missing,
1073,underground,Underground,techniqueUnderground,0.0,absent,False
1074,underground,Underground,techniqueUnderground,,missing,
1075,underground,Underground,techniqueUnderground,0.0,absent,False
1076,underground,Underground,techniqueUnderground,0.0,absent,False
1077,underground,Underground,techniqueUnderground,0.0,absent,False
